date,region,person,goods,units,amount,value
13 Jan 13,east,kate,tablets,1,186,186
13 Jan 13,east,joe,desktops,2,656,1312
13 Jan 13,west,roger,laptops,1,916,916
13 Jan 13,east,andy,laptops,2,847,1694
13 Jan 13,west,jack,desktops,2,446,892
13 Jan 13,west,rachel,servers,10,1258,12580
13 Jan 13,west,roger,software,1,210,210
13 Jan 13,east,kate,laptops,2,768,1536
13 Jan 13,south,tom,tablets,1,506,506
13 Jan 13,west,roger,laptops,2,710,1420
13 Jan 13,mountain,frederic,software,1,333,333
13 Jan 13,midwest,charles,desktops,4,613,2452
13 Jan 13,midwest,bob,tablets,1,591,591
13 Jan 13,midwest,charles,tablets,1,62,62
13 Jan 13,west,lyn,laptops,2,857,1714
14 Jan 13,mountain,william,laptops,4,510,2040
14 Jan 13,west,roger,laptops,1,499,499
14 Jan 13,south,sue,laptops,1,865,865
14 Jan 13,east,andy,servers,1,1954,1954
14 Jan 13,south,tom,tablets,2,480,960
14 Jan 13,west,kevin,laptops,1,415,415
14 Jan 13,west,jack,tablets,1,258,258
14 Jan 13,east,sunil,laptops,1,681,681
14 Jan 13,west,jack,tablets,4,780,3120
14 Jan 13,east,joe,desktops,4,666,2664
14 Jan 13,south,sue,laptops,1,407,407
14 Jan 13,south,sue,tablets,10,377,3770
14 Jan 13,west,mandy,tablets,2,892,1784
14 Jan 13,west,kevin,servers,1,2630,2630
14 Jan 13,east,dan,desktops,1,793,793
14 Jan 13,west,jack,laptops,1,852,852
14 Jan 13,south,tom,software,2,467,934
14 Jan 13,mountain,william,desktops,1,363,363
14 Jan 13,south,tom,laptops,1,662,662
14 Jan 13,west,mandy,tablets,1,42,42
14 Jan 13,east,andy,laptops,2,610,1220
14 Jan 13,west,rachel,laptops,1,790,790
14 Jan 13,east,joe,servers,1,2565,2565
15 Jan 13,east,julie,software,1,311,311
15 Jan 13,south,jim,tablets,10,88,880
15 Jan 13,midwest,charles,tablets,1,525,525
15 Jan 13,south,sue,software,2,369,738
15 Jan 13,south,harry,desktops,1,399,399
15 Jan 13,east,andy,desktops,1,468,468
15 Jan 13,west,lyn,tablets,1,789,789
15 Jan 13,south,sue,software,2,433,866
15 Jan 13,east,julie,laptops,2,865,1730
15 Jan 13,mountain,william,tablets,1,610,610
15 Jan 13,mountain,william,servers,10,1296,12960
15 Jan 13,east,joe,desktops,10,574,5740
15 Jan 13,south,debs,tablets,1,811,811
15 Jan 13,east,kate,desktops,2,694,1388
15 Jan 13,east,julie,tablets,2,453,906
15 Jan 13,east,dan,tablets,1,930,930
15 Jan 13,west,roger,laptops,2,722,1444
15 Jan 13,midwest,bob,desktops,10,390,3900
15 Jan 13,midwest,charles,servers,4,1945,7780
15 Jan 13,west,roger,tablets,1,775,775
15 Jan 13,mountain,frederic,desktops,1,540,540
15 Jan 13,midwest,john,desktops,4,561,2244
15 Jan 13,west,kevin,tablets,10,623,6230
16 Jan 13,midwest,john,software,10,420,4200
16 Jan 13,west,lyn,tablets,1,636,636
16 Jan 13,west,roger,desktops,10,572,5720
16 Jan 13,west,jack,software,1,431,431
16 Jan 13,east,dan,software,2,238,476
16 Jan 13,west,mandy,tablets,1,504,504
16 Jan 13,east,julie,laptops,1,925,925
16 Jan 13,east,andy,software,1,485,485
16 Jan 13,east,joe,tablets,2,357,714
16 Jan 13,west,jack,tablets,1,247,247
16 Jan 13,midwest,sam,laptops,1,737,737
16 Jan 13,midwest,charles,tablets,1,810,810
16 Jan 13,midwest,charles,tablets,10,713,7130
16 Jan 13,mountain,claire,desktops,10,216,2160
16 Jan 13,midwest,charles,tablets,2,363,726
16 Jan 13,east,kate,tablets,1,245,245
16 Jan 13,mountain,claire,tablets,1,751,751
16 Jan 13,mountain,claire,software,4,363,1452
16 Jan 13,west,mandy,tablets,1,966,966
16 Jan 13,west,kevin,laptops,1,846,846
16 Jan 13,west,roger,servers,2,2152,4304
16 Jan 13,west,mandy,laptops,1,481,481
16 Jan 13,south,harry,laptops,10,487,4870
17 Jan 13,west,jack,software,2,217,434
17 Jan 13,west,rachel,tablets,1,575,575
17 Jan 13,midwest,sam,laptops,10,563,5630
17 Jan 13,south,debs,tablets,2,200,400
17 Jan 13,mountain,claire,laptops,10,345,3450
17 Jan 13,west,kevin,desktops,2,394,788
17 Jan 13,west,mandy,laptops,1,602,602
17 Jan 13,east,sunil,laptops,1,380,380
17 Jan 13,east,joe,desktops,1,534,534
17 Jan 13,south,tom,tablets,1,765,765
17 Jan 13,west,lyn,desktops,1,732,732
17 Jan 13,east,dan,laptops,4,652,2608
17 Jan 13,midwest,charles,software,1,488,488
17 Jan 13,south,harry,tablets,1,63,63
17 Jan 13,west,jack,servers,2,2703,5406
17 Jan 13,south,jim,servers,1,2341,2341
17 Jan 13,east,joe,servers,2,2783,5566
17 Jan 13,east,andy,servers,1,1573,1573
17 Jan 13,west,kevin,laptops,1,702,702
17 Jan 13,east,sunil,desktops,1,256,256
17 Jan 13,midwest,bob,servers,1,2024,2024
17 Jan 13,west,lyn,laptops,10,300,3000
17 Jan 13,midwest,bill,tablets,4,601,2404
18 Jan 13,east,sunil,desktops,10,216,2160
18 Jan 13,west,jack,software,1,112,112
18 Jan 13,east,julie,laptops,1,404,404
18 Jan 13,east,joe,desktops,10,354,3540
18 Jan 13,west,lyn,tablets,1,919,919
18 Jan 13,east,kate,tablets,2,163,326
18 Jan 13,west,jack,servers,10,2527,25270
18 Jan 13,west,roger,tablets,1,974,974
18 Jan 13,east,julie,tablets,1,223,223
18 Jan 13,midwest,john,laptops,1,751,751
18 Jan 13,west,lyn,laptops,1,691,691
18 Jan 13,west,jack,tablets,1,61,61
18 Jan 13,east,joe,tablets,1,415,415
18 Jan 13,south,debs,desktops,2,386,772
18 Jan 13,east,julie,desktops,2,294,588
18 Jan 13,east,kate,laptops,1,721,721
18 Jan 13,midwest,sam,servers,1,2624,2624
18 Jan 13,west,kevin,desktops,1,362,362
18 Jan 13,west,rachel,tablets,4,499,1996
18 Jan 13,east,kate,tablets,10,657,6570
18 Jan 13,east,joe,laptops,2,408,816
18 Jan 13,east,andy,tablets,1,606,606
18 Jan 13,east,dan,laptops,1,682,682
19 Jan 13,south,jim,laptops,1,586,586
19 Jan 13,midwest,sam,desktops,1,412,412
19 Jan 13,east,sunil,tablets,1,370,370
19 Jan 13,east,sunil,tablets,1,714,714
19 Jan 13,east,andy,desktops,1,483,483
19 Jan 13,west,mandy,laptops,2,419,838
19 Jan 13,midwest,bill,laptops,1,755,755
19 Jan 13,midwest,charles,tablets,10,215,2150
19 Jan 13,east,sunil,desktops,4,485,1940
19 Jan 13,south,fred,servers,1,2584,2584
19 Jan 13,midwest,bill,tablets,2,895,1790
19 Jan 13,mountain,frederic,tablets,1,458,458
19 Jan 13,midwest,john,tablets,1,256,256
19 Jan 13,mountain,james,servers,1,2325,2325
19 Jan 13,midwest,john,tablets,1,361,361
19 Jan 13,east,julie,tablets,1,477,477
19 Jan 13,midwest,bob,desktops,10,693,6930
19 Jan 13,east,andy,tablets,1,716,716
19 Jan 13,west,jack,software,2,368,736
19 Jan 13,west,kevin,laptops,4,531,2124
19 Jan 13,west,jack,software,1,210,210
19 Jan 13,west,kevin,tablets,2,918,1836
19 Jan 13,west,jack,software,4,230,920
20 Jan 13,west,jack,desktops,4,269,1076
20 Jan 13,west,lyn,desktops,1,687,687
20 Jan 13,east,sunil,tablets,4,72,288
20 Jan 13,west,rachel,laptops,2,738,1476
20 Jan 13,east,kate,servers,1,1300,1300
20 Jan 13,south,jim,laptops,4,602,2408
20 Jan 13,east,julie,laptops,10,928,9280
20 Jan 13,west,mandy,desktops,2,272,544
20 Jan 13,midwest,sam,desktops,1,473,473
20 Jan 13,west,lyn,servers,1,1115,1115
20 Jan 13,west,kevin,desktops,1,490,490
20 Jan 13,mountain,james,tablets,1,752,752
20 Jan 13,midwest,bob,software,2,326,652
20 Jan 13,west,jack,software,1,199,199
20 Jan 13,west,roger,tablets,1,159,159
20 Jan 13,west,mandy,desktops,1,399,399
20 Jan 13,east,kate,laptops,4,728,2912
20 Jan 13,mountain,william,tablets,1,853,853
20 Jan 13,south,jim,servers,1,1706,1706
20 Jan 13,east,sunil,tablets,1,456,456
20 Jan 13,south,tom,laptops,1,431,431
20 Jan 13,midwest,sam,laptops,1,520,520
20 Jan 13,south,fred,desktops,1,493,493
21 Jan 13,west,jack,laptops,1,484,484
21 Jan 13,west,jack,desktops,1,321,321
21 Jan 13,east,sunil,servers,1,1498,1498
21 Jan 13,midwest,sam,software,2,298,596
21 Jan 13,west,jack,tablets,1,252,252
21 Jan 13,south,harry,tablets,10,473,4730
21 Jan 13,south,debs,laptops,10,782,7820
21 Jan 13,east,sunil,laptops,10,402,4020
21 Jan 13,west,mandy,software,1,207,207
21 Jan 13,west,rachel,tablets,1,500,500
21 Jan 13,west,roger,laptops,10,974,9740
21 Jan 13,west,rachel,servers,1,2127,2127
21 Jan 13,west,roger,desktops,1,411,411
21 Jan 13,south,harry,desktops,2,481,962
21 Jan 13,midwest,charles,tablets,1,98,98
21 Jan 13,east,andy,software,1,423,423
21 Jan 13,midwest,john,tablets,4,887,3548
21 Jan 13,south,tom,desktops,2,399,798
21 Jan 13,midwest,sam,tablets,2,710,1420
21 Jan 13,south,debs,laptops,1,941,941
21 Jan 13,east,joe,tablets,1,180,180
21 Jan 13,east,joe,servers,1,2777,2777
21 Jan 13,west,lyn,tablets,4,975,3900
22 Jan 13,west,rachel,software,1,201,201
22 Jan 13,south,tom,laptops,4,302,1208
22 Jan 13,west,lyn,laptops,1,360,360
22 Jan 13,west,mandy,laptops,4,459,1836
22 Jan 13,mountain,james,desktops,1,490,490
22 Jan 13,midwest,bob,desktops,1,408,408
22 Jan 13,west,rachel,tablets,2,435,870
22 Jan 13,east,dan,software,2,425,850
22 Jan 13,south,fred,laptops,1,566,566
22 Jan 13,east,dan,software,1,432,432
22 Jan 13,mountain,frederic,tablets,1,741,741
22 Jan 13,west,jack,tablets,1,463,463
22 Jan 13,midwest,bob,servers,1,1491,1491
22 Jan 13,west,jack,desktops,2,722,1444
22 Jan 13,west,roger,tablets,1,709,709
22 Jan 13,east,dan,desktops,1,767,767
22 Jan 13,midwest,bill,software,1,160,160
22 Jan 13,south,harry,desktops,1,490,490
22 Jan 13,midwest,sam,tablets,2,544,1088
22 Jan 13,east,dan,software,10,270,2700
22 Jan 13,west,kevin,laptops,1,996,996
22 Jan 13,west,mandy,laptops,1,565,565
22 Jan 13,west,jack,laptops,1,996,996
23 Jan 13,west,mandy,laptops,1,776,776
23 Jan 13,east,kate,laptops,2,518,1036
23 Jan 13,east,kate,laptops,1,822,822
23 Jan 13,west,jack,software,1,486,486
23 Jan 13,south,debs,tablets,1,712,712
23 Jan 13,west,lyn,laptops,1,323,323
23 Jan 13,west,rachel,software,4,494,1976
23 Jan 13,south,tom,laptops,1,589,589
23 Jan 13,east,dan,desktops,1,330,330
23 Jan 13,east,julie,laptops,1,461,461
23 Jan 13,midwest,john,laptops,2,616,1232
23 Jan 13,east,sunil,tablets,1,887,887
23 Jan 13,midwest,john,software,1,184,184
23 Jan 13,mountain,claire,laptops,1,357,357
23 Jan 13,west,mandy,desktops,1,240,240
23 Jan 13,west,jack,tablets,1,119,119
23 Jan 13,east,dan,tablets,4,72,288
23 Jan 13,south,fred,laptops,10,704,7040
23 Jan 13,west,rachel,desktops,10,422,4220
23 Jan 13,west,mandy,tablets,1,180,180
23 Jan 13,west,kevin,laptops,1,487,487
23 Jan 13,west,lyn,servers,1,2977,2977
23 Jan 13,west,jack,laptops,1,400,400
24 Jan 13,west,mandy,tablets,1,452,452
24 Jan 13,south,sue,servers,1,2421,2421
24 Jan 13,south,fred,tablets,1,168,168
24 Jan 13,south,harry,software,1,350,350
24 Jan 13,midwest,bob,servers,1,1891,1891
24 Jan 13,south,tom,tablets,2,411,822
24 Jan 13,midwest,bob,software,1,374,374
24 Jan 13,mountain,james,software,1,441,441
24 Jan 13,west,roger,laptops,2,521,1042
24 Jan 13,west,lyn,laptops,1,975,975
24 Jan 13,east,sunil,software,10,131,1310
24 Jan 13,west,mandy,software,1,460,460
24 Jan 13,south,harry,tablets,2,645,1290
24 Jan 13,east,dan,desktops,2,442,884
24 Jan 13,west,rachel,laptops,2,601,1202
24 Jan 13,east,andy,laptops,4,517,2068
24 Jan 13,midwest,sam,laptops,2,733,1466
24 Jan 13,midwest,charles,laptops,4,672,2688
24 Jan 13,south,harry,software,1,271,271
24 Jan 13,west,mandy,desktops,2,750,1500
24 Jan 13,mountain,claire,desktops,10,778,7780
24 Jan 13,east,dan,tablets,1,197,197
24 Jan 13,mountain,claire,desktops,10,218,2180
25 Jan 13,west,lyn,desktops,1,440,440
25 Jan 13,west,mandy,tablets,1,317,317
25 Jan 13,mountain,claire,laptops,2,431,862
25 Jan 13,east,sunil,desktops,10,691,6910
25 Jan 13,south,fred,desktops,1,665,665
25 Jan 13,midwest,bob,desktops,2,759,1518
25 Jan 13,west,roger,tablets,2,777,1554
25 Jan 13,east,joe,desktops,2,663,1326
25 Jan 13,west,roger,tablets,2,811,1622
25 Jan 13,west,rachel,laptops,1,636,636
25 Jan 13,south,jim,laptops,1,388,388
25 Jan 13,east,kate,tablets,2,984,1968
25 Jan 13,east,sunil,servers,4,1008,4032
25 Jan 13,mountain,claire,desktops,1,368,368
25 Jan 13,midwest,bob,desktops,1,517,517
25 Jan 13,east,julie,laptops,1,846,846
25 Jan 13,south,fred,tablets,1,26,26
25 Jan 13,east,sunil,tablets,1,966,966
25 Jan 13,west,kevin,laptops,1,425,425
25 Jan 13,east,andy,software,1,473,473
25 Jan 13,east,julie,tablets,4,188,752
25 Jan 13,east,dan,tablets,10,856,8560
25 Jan 13,south,fred,desktops,1,733,733
26 Jan 13,east,andy,tablets,4,740,2960
26 Jan 13,south,jim,software,1,440,440
26 Jan 13,east,andy,tablets,2,793,1586
26 Jan 13,south,jim,laptops,1,878,878
26 Jan 13,west,mandy,tablets,1,33,33
26 Jan 13,west,kevin,desktops,1,574,574
26 Jan 13,east,sunil,tablets,1,819,819
26 Jan 13,south,tom,desktops,1,341,341
26 Jan 13,midwest,sam,laptops,10,324,3240
26 Jan 13,west,jack,software,2,339,678
26 Jan 13,south,jim,laptops,1,658,658
26 Jan 13,midwest,charles,desktops,2,266,532
26 Jan 13,west,kevin,laptops,1,619,619
26 Jan 13,west,rachel,desktops,2,358,716
26 Jan 13,west,kevin,tablets,10,732,7320
26 Jan 13,west,mandy,tablets,1,42,42
26 Jan 13,midwest,bob,software,1,353,353
26 Jan 13,east,julie,software,1,433,433
26 Jan 13,east,sunil,software,2,434,868
26 Jan 13,west,rachel,software,2,385,770
26 Jan 13,west,lyn,laptops,2,919,1838
26 Jan 13,west,lyn,tablets,1,545,545
26 Jan 13,west,lyn,servers,1,1457,1457
27 Jan 13,mountain,frederic,software,1,204,204
27 Jan 13,west,jack,servers,4,1080,4320
27 Jan 13,midwest,john,tablets,1,387,387
27 Jan 13,west,lyn,desktops,2,731,1462
27 Jan 13,west,rachel,tablets,1,241,241
27 Jan 13,midwest,bill,tablets,4,361,1444
27 Jan 13,east,kate,desktops,1,405,405
27 Jan 13,south,fred,laptops,1,433,433
27 Jan 13,east,andy,laptops,1,514,514
27 Jan 13,east,julie,software,10,347,3470
27 Jan 13,east,dan,laptops,1,709,709
27 Jan 13,west,roger,laptops,1,780,780
27 Jan 13,west,roger,desktops,1,360,360
27 Jan 13,midwest,bob,tablets,1,422,422
27 Jan 13,east,andy,tablets,10,600,6000
27 Jan 13,west,kevin,laptops,1,330,330
27 Jan 13,east,andy,tablets,1,822,822
27 Jan 13,west,lyn,desktops,4,641,2564
27 Jan 13,midwest,charles,laptops,1,487,487
27 Jan 13,west,roger,laptops,1,677,677
27 Jan 13,mountain,claire,servers,4,1594,6376
27 Jan 13,east,andy,desktops,10,768,7680
27 Jan 13,midwest,bill,tablets,1,772,772
28 Jan 13,midwest,charles,tablets,1,79,79
28 Jan 13,east,dan,laptops,2,858,1716
28 Jan 13,east,andy,laptops,1,838,838
28 Jan 13,midwest,charles,tablets,1,182,182
28 Jan 13,east,joe,tablets,1,156,156
28 Jan 13,west,mandy,laptops,2,655,1310
28 Jan 13,west,roger,laptops,1,495,495
28 Jan 13,midwest,charles,software,1,157,157
28 Jan 13,east,julie,tablets,2,905,1810
28 Jan 13,east,dan,desktops,1,628,628
28 Jan 13,midwest,bill,laptops,2,732,1464
28 Jan 13,east,julie,tablets,1,419,419
28 Jan 13,mountain,william,tablets,2,530,1060
28 Jan 13,west,lyn,software,10,100,1000
28 Jan 13,east,julie,desktops,2,504,1008
28 Jan 13,west,jack,desktops,1,675,675
28 Jan 13,south,fred,desktops,1,680,680
28 Jan 13,east,julie,desktops,10,416,4160
28 Jan 13,west,rachel,laptops,1,977,977
28 Jan 13,east,dan,tablets,1,350,350
28 Jan 13,east,julie,laptops,1,750,750
28 Jan 13,midwest,charles,software,1,421,421
28 Jan 13,mountain,james,tablets,1,926,926
29 Jan 13,west,jack,desktops,1,330,330
29 Jan 13,south,fred,tablets,1,932,932
29 Jan 13,mountain,william,software,1,302,302
29 Jan 13,midwest,charles,servers,1,1061,1061
29 Jan 13,west,lyn,servers,1,1426,1426
29 Jan 13,east,julie,tablets,1,695,695
29 Jan 13,east,joe,tablets,4,592,2368
29 Jan 13,west,kevin,laptops,1,808,808
29 Jan 13,midwest,sam,laptops,1,767,767
29 Jan 13,west,rachel,software,10,313,3130
29 Jan 13,west,mandy,servers,4,1934,7736
29 Jan 13,east,sunil,tablets,1,208,208
29 Jan 13,midwest,charles,tablets,1,582,582
29 Jan 13,west,roger,laptops,1,978,978
29 Jan 13,west,lyn,software,4,420,1680
29 Jan 13,mountain,frederic,software,1,198,198
29 Jan 13,midwest,sam,laptops,4,907,3628
29 Jan 13,east,joe,tablets,1,477,477
29 Jan 13,east,julie,tablets,2,441,882
29 Jan 13,midwest,charles,servers,1,2373,2373
29 Jan 13,west,kevin,software,1,275,275
29 Jan 13,west,mandy,tablets,1,795,795
29 Jan 13,south,fred,software,1,128,128
30 Jan 13,west,kevin,desktops,4,676,2704
30 Jan 13,west,mandy,laptops,1,465,465
30 Jan 13,midwest,charles,laptops,2,790,1580
30 Jan 13,east,sunil,laptops,2,481,962
30 Jan 13,west,rachel,servers,10,2734,27340
30 Jan 13,south,jim,tablets,2,489,978
30 Jan 13,west,lyn,software,1,280,280
30 Jan 13,mountain,claire,laptops,1,906,906
30 Jan 13,west,lyn,servers,1,2093,2093
30 Jan 13,south,tom,software,1,159,159
30 Jan 13,south,fred,tablets,1,588,588
30 Jan 13,west,jack,software,1,371,371
30 Jan 13,east,julie,software,1,101,101
30 Jan 13,west,lyn,laptops,4,983,3932
30 Jan 13,west,mandy,tablets,4,986,3944
30 Jan 13,south,tom,tablets,10,861,8610
30 Jan 13,east,kate,servers,2,2932,5864
30 Jan 13,south,jim,desktops,1,563,563
30 Jan 13,mountain,james,software,1,306,306
30 Jan 13,west,jack,tablets,2,515,1030
30 Jan 13,midwest,bob,tablets,10,499,4990
30 Jan 13,south,sue,laptops,1,887,887
30 Jan 13,south,harry,tablets,2,500,1000
31 Jan 13,south,tom,tablets,10,601,6010
31 Jan 13,south,jim,servers,10,1578,15780
31 Jan 13,east,dan,laptops,10,325,3250
31 Jan 13,south,tom,software,1,474,474
31 Jan 13,east,joe,laptops,2,766,1532
31 Jan 13,mountain,frederic,software,2,200,400
31 Jan 13,midwest,charles,tablets,2,854,1708
31 Jan 13,mountain,frederic,tablets,1,537,537
31 Jan 13,midwest,bill,tablets,1,26,26
31 Jan 13,west,roger,laptops,2,566,1132
31 Jan 13,west,roger,laptops,1,784,784
31 Jan 13,west,kevin,servers,1,2153,2153
31 Jan 13,mountain,claire,tablets,1,939,939
31 Jan 13,east,joe,tablets,1,378,378
31 Jan 13,east,andy,servers,1,2563,2563
31 Jan 13,east,kate,tablets,1,371,371
31 Jan 13,midwest,bill,tablets,1,360,360
31 Jan 13,midwest,charles,desktops,1,297,297
31 Jan 13,west,kevin,tablets,2,979,1958
